countries,elos,year
Spain,2165,2010_World_Cup
Netherlands,2098,2010_World_Cup
Brazil,2095,2010_World_Cup
Germany,2061,2010_World_Cup
Argentina,1961,2010_World_Cup
England,1915,2010_World_Cup
Portugal,1885,2010_World_Cup
Uruguay,1884,2010_World_Cup
Chile,1882,2010_World_Cup
Mexico,1858,2010_World_Cup
Italy,1849,2010_World_Cup
Serbia,1807,2010_World_Cup
Australia,1784,2010_World_Cup
Switzerland,1783,2010_World_Cup
Paraguay,1780,2010_World_Cup
France,1776,2010_World_Cup
Ghana,1769,2010_World_Cup
United States,1769,2010_World_Cup
Ivory Coast,1765,2010_World_Cup
Japan,1762,2010_World_Cup
South Korea,1746,2010_World_Cup
Denmark,1728,2010_World_Cup
Greece,1708,2010_World_Cup
Slovenia,1702,2010_World_Cup
Honduras,1699,2010_World_Cup
Nigeria,1680,2010_World_Cup
Slovakia,1672,2010_World_Cup
Cameroon,1638,2010_World_Cup
South Africa,1619,2010_World_Cup
New Zealand,1583,2010_World_Cup
Algeria,1538,2010_World_Cup
North Korea,1495,2010_World_Cup
Germany,2223,2014_World_Cup
Netherlands,2154,2014_World_Cup
Argentina,2064,2014_World_Cup
Colombia,2018,2014_World_Cup
Spain,1993,2014_World_Cup
Chile,1981,2014_World_Cup
Brazil,1980,2014_World_Cup
France,1957,2014_World_Cup
Portugal,1918,2014_World_Cup
Belgium,1912,2014_World_Cup
Mexico,1882,2014_World_Cup
Uruguay,1880,2014_World_Cup
England,1860,2014_World_Cup
Italy,1850,2014_World_Cup
Costa Rica,1846,2014_World_Cup
Switzerland,1846,2014_World_Cup
United States,1837,2014_World_Cup
Ecuador,1837,2014_World_Cup
Greece,1815,2014_World_Cup
Russia,1797,2014_World_Cup
Croatia,1794,2014_World_Cup
Bosnia/Herzeg,1781,2014_World_Cup
Ivory Coast,1758,2014_World_Cup
Japan,1734,2014_World_Cup
Nigeria,1731,2014_World_Cup
Ghana,1702,2014_World_Cup
Algeria,1675,2014_World_Cup
Australia,1666,2014_World_Cup
Iran,1665,2014_World_Cup
South Korea,1617,2014_World_Cup
Honduras,1606,2014_World_Cup
Cameroon,1568,2014_World_Cup
France,2127,2018_World_Cup
Brazil,2113,2018_World_Cup
Belgium,2058,2018_World_Cup
Spain,2010,2018_World_Cup
Germany,1964,2018_World_Cup
Uruguay,1946,2018_World_Cup
Croatia,1943,2018_World_Cup
Portugal,1939,2018_World_Cup
Colombia,1939,2018_World_Cup
England,1913,2018_World_Cup
Argentina,1896,2018_World_Cup
Denmark,1895,2018_World_Cup
Peru,1891,2018_World_Cup
Switzerland,1879,2018_World_Cup
Sweden,1865,2018_World_Cup
Mexico,1829,2018_World_Cup
Iran,1817,2018_World_Cup
Poland,1783,2018_World_Cup
Serbia,1773,2018_World_Cup
Senegal,1763,2018_World_Cup
South Korea,1756,2018_World_Cup
Costa Rica,1725,2018_World_Cup
Russia,1721,2018_World_Cup
Morocco,1720,2018_World_Cup
Australia,1712,2018_World_Cup
Iceland,1709,2018_World_Cup
Nigeria,1703,2018_World_Cup
Japan,1699,2018_World_Cup
Tunisia,1661,2018_World_Cup
Panama,1595,2018_World_Cup
Saudi Arabia,1583,2018_World_Cup
Egypt,1573,2018_World_Cup
Brazil,2169,2022_World_Cup
Argentina,2141,2022_World_Cup
Spain,2045,2022_World_Cup
Netherlands,2040,2022_World_Cup
Belgium,2025,2022_World_Cup
France,2005,2022_World_Cup
Portugal,2004,2022_World_Cup
Denmark,1971,2022_World_Cup
Germany,1960,2022_World_Cup
Uruguay,1936,2022_World_Cup
Switzerland,1929,2022_World_Cup
Croatia,1922,2022_World_Cup
England,1920,2022_World_Cup
Serbia,1892,2022_World_Cup
Ecuador,1840,2022_World_Cup
Iran,1817,2022_World_Cup
Mexico,1813,2022_World_Cup
Poland,1809,2022_World_Cup
United States,1798,2022_World_Cup
Japan,1798,2022_World_Cup
Wales,1790,2022_World_Cup
South Korea,1783,2022_World_Cup
Canada,1770,2022_World_Cup
Morocco,1753,2022_World_Cup
Costa Rica,1736,2022_World_Cup
Australia,1719,2022_World_Cup
Tunisia,1687,2022_World_Cup
Senegal,1687,2022_World_Cup
Qatar,1664,2022_World_Cup
Saudi Arabia,1632,2022_World_Cup
Cameroon,1613,2022_World_Cup
Ghana,1540,2022_World_Cup
Belgium,2126,2021_European_Championship
Italy,2093,2021_European_Championship
France,2074,2021_European_Championship
England,2036,2021_European_Championship
Spain,2024,2021_European_Championship
Portugal,2007,2021_European_Championship
Denmark,1965,2021_European_Championship
Netherlands,1921,2021_European_Championship
Germany,1916,2021_European_Championship
Switzerland,1915,2021_European_Championship
Sweden,1864,2021_European_Championship
Czechia,1837,2021_European_Championship
Croatia,1825,2021_European_Championship
Wales,1822,2021_European_Championship
Ukraine,1795,2021_European_Championship
Austria,1778,2021_European_Championship
Poland,1762,2021_European_Championship
Hungary,1755,2021_European_Championship
Turkey,1731,2021_European_Championship
Russia,1730,2021_European_Championship
Finland,1705,2021_European_Championship
Slovakia,1670,2021_European_Championship
Scotland,1629,2021_European_Championship
N Macedonia,1564,2021_European_Championship
Germany,2016,2016_European_Championship
France,1983,2016_European_Championship
Portugal,1959,2016_European_Championship
Italy,1950,2016_European_Championship
Spain,1940,2016_European_Championship
England,1913,2016_European_Championship
Belgium,1891,2016_European_Championship
Croatia,1849,2016_European_Championship
Poland,1824,2016_European_Championship
Turkey,1816,2016_European_Championship
Switzerland,1803,2016_European_Championship
Wales,1779,2016_European_Championship
Slovakia,1759,2016_European_Championship
Ireland,1759,2016_European_Championship
Iceland,1743,2016_European_Championship
Ukraine,1739,2016_European_Championship
Sweden,1735,2016_European_Championship
Hungary,1724,2016_European_Championship
Czechia,1718,2016_European_Championship
Romania,1718,2016_European_Championship
Austria,1713,2016_European_Championship
Russia,1694,2016_European_Championship
North Ireland,1642,2016_European_Championship
Albania,1633,2016_European_Championship
Spain,2155,2012_European_Championship
Germany,2061,2012_European_Championship
England,1978,2012_European_Championship
Netherlands,1966,2012_European_Championship
Portugal,1941,2012_European_Championship
Italy,1918,2012_European_Championship
Croatia,1889,2012_European_Championship
Sweden,1889,2012_European_Championship
France,1854,2012_European_Championship
Russia,1847,2012_European_Championship
Denmark,1822,2012_European_Championship
Czechia,1789,2012_European_Championship
Greece,1779,2012_European_Championship
Ireland,1737,2012_European_Championship
Ukraine,1728,2012_European_Championship
Poland,1696,2012_European_Championship
Spain,2077,2008_European_Championship
Netherlands,2028,2008_European_Championship
Italy,2014,2008_European_Championship
Germany,1973,2008_European_Championship
Croatia,1925,2008_European_Championship
France,1924,2008_European_Championship
Romania,1900,2008_European_Championship
Russia,1873,2008_European_Championship
Czechia,1870,2008_European_Championship
Portugal,1867,2008_European_Championship
Turkey,1832,2008_European_Championship
Switzerland,1788,2008_European_Championship
Sweden,1774,2008_European_Championship
Greece,1757,2008_European_Championship
Poland,1746,2008_European_Championship
Austria,1583,2008_European_Championship
France,2026,2004_European_Championship
Czechia,1996,2004_European_Championship
Spain,1986,2004_European_Championship
England,1972,2004_European_Championship
Italy,1946,2004_European_Championship
Greece,1926,2004_European_Championship
Netherlands,1918,2004_European_Championship
Portugal,1890,2004_European_Championship
Denmark,1864,2004_European_Championship
Sweden,1860,2004_European_Championship
Germany,1841,2004_European_Championship
Croatia,1816,2004_European_Championship
Russia,1781,2004_European_Championship
Switzerland,1687,2004_European_Championship
Bulgaria,1684,2004_European_Championship
Latvia,1530,2004_European_Championship
Brazil,2114,2021_Copa_America
Argentina,2063,2021_Copa_America
Uruguay,1935,2021_Copa_America
Colombia,1924,2021_Copa_America
Paraguay,1810,2021_Copa_America
Peru,1809,2021_Copa_America
Chile,1794,2021_Copa_America
Ecuador,1783,2021_Copa_America
Venezuela,1750,2021_Copa_America
Bolivia,1580,2021_Copa_America
Brazil,2126,2019_Copa_America
Colombia,2012,2019_Copa_America
Uruguay,1957,2019_Copa_America
Argentina,1926,2019_Copa_America
Peru,1876,2019_Copa_America
Chile,1810,2019_Copa_America
Venezuela,1796,2019_Copa_America
Japan,1745,2019_Copa_America
Paraguay,1737,2019_Copa_America
Qatar,1731,2019_Copa_America
Ecuador,1716,2019_Copa_America
Bolivia,1597,2019_Copa_America
Argentina,2109,2016_Copa_America
Chile,2041,2016_Copa_America
Brazil,1978,2016_Copa_America
Colombia,1952,2016_Copa_America
Mexico,1907,2016_Copa_America
Uruguay,1895,2016_Copa_America
Ecuador,1860,2016_Copa_America
Peru,1841,2016_Copa_America
Costa Rica,1787,2016_Copa_America
United States,1764,2016_Copa_America
Paraguay,1725,2016_Copa_America
Venezuela,1685,2016_Copa_America
Panama,1671,2016_Copa_America
Bolivia,1574,2016_Copa_America
Jamaica,1554,2016_Copa_America
Haiti,1476,2016_Copa_America
Argentina,2069,2015_Copa_America
Brazil,2033,2015_Copa_America
Colombia,2003,2015_Copa_America
Chile,1975,2015_Copa_America
Uruguay,1876,2015_Copa_America
Mexico,1843,2015_Copa_America
Ecuador,1819,2015_Copa_America
Peru,1809,2015_Copa_America
Venezuela,1699,2015_Copa_America
Paraguay,1698,2015_Copa_America
Bolivia,1639,2015_Copa_America
Jamaica,1520,2015_Copa_America
Brazil,2039,2011_Copa_America
Uruguay,1957,2011_Copa_America
Argentina,1915,2011_Copa_America
Chile,1904,2011_Copa_America
Mexico,1858,2011_Copa_America
Paraguay,1785,2011_Copa_America
Peru,1778,2011_Copa_America
Colombia,1764,2011_Copa_America
Venezuela,1751,2011_Copa_America
Ecuador,1697,2011_Copa_America
Costa Rica,1663,2011_Copa_America
Bolivia,1541,2011_Copa_America
Brazil,2079,2007_Copa_America
Argentina,2028,2007_Copa_America
Mexico,1927,2007_Copa_America
Uruguay,1822,2007_Copa_America
Paraguay,1793,2007_Copa_America
Colombia,1782,2007_Copa_America
United States,1753,2007_Copa_America
Chile,1743,2007_Copa_America
Ecuador,1692,2007_Copa_America
Peru,1647,2007_Copa_America
Venezuela,1633,2007_Copa_America
Bolivia,1588,2007_Copa_America
Argentina,2009,2004_Copa_America
Brazil,2005,2004_Copa_America
Mexico,1854,2004_Copa_America
Uruguay,1813,2004_Copa_America
Paraguay,1786,2004_Copa_America
Colombia,1784,2004_Copa_America
Peru,1687,2004_Copa_America
Chile,1677,2004_Copa_America
Costa Rica,1675,2004_Copa_America
Ecuador,1673,2004_Copa_America
Venezuela,1629,2004_Copa_America
Bolivia,1580,2004_Copa_America
Italy,2079,2006_World_Cup
France,2066,2006_World_Cup
Brazil,2060,2006_World_Cup
Argentina,2004,2006_World_Cup
England,1999,2006_World_Cup
Netherlands,1985,2006_World_Cup
Spain,1959,2006_World_Cup
Germany,1955,2006_World_Cup
Portugal,1937,2006_World_Cup
Czechia,1881,2006_World_Cup
Switzerland,1858,2006_World_Cup
Sweden,1850,2006_World_Cup
Croatia,1817,2006_World_Cup
Mexico,1817,2006_World_Cup
Australia,1805,2006_World_Cup
Ukraine,1789,2006_World_Cup
United States,1775,2006_World_Cup
Poland,1773,2006_World_Cup
Ivory Coast,1766,2006_World_Cup
Ecuador,1766,2006_World_Cup
Paraguay,1765,2006_World_Cup
Japan,1738,2006_World_Cup
Iran,1731,2006_World_Cup
South Korea,1722,2006_World_Cup
Ghana,1718,2006_World_Cup
Serbia/Mont,1716,2006_World_Cup
Tunisia,1662,2006_World_Cup
Costa Rica,1640,2006_World_Cup
Angola,1594,2006_World_Cup
Saudi Arabia,1559,2006_World_Cup
Trinidad/Tob,1554,2006_World_Cup
Togo,1462,2006_World_Cup
